,,,,,
Date,Facebook Close,Tesla Close,Tilray Close,Amazon Close,Shopify Close
22/12/2016,117.4,41.69,,766.34,64.99
23/12/2016,117.27,42.67,,760.59,66.99
27/12/2016,118.01,43.91,,771.4,68.86
28/12/2016,116.92,43.95,,772.13,67.19
29/12/2016,116.35,42.94,,765.15,66.71
30/12/2016,115.05,42.74,,749.87,67.58
03/01/2017,116.86,43.4,,753.67,68.98
04/01/2017,118.69,45.4,,757.18,70.4
05/01/2017,120.67,45.35,,780.45,72.37
06/01/2017,123.41,45.8,,795.99,72.72
09/01/2017,124.9,46.26,,796.92,69.05
10/01/2017,124.35,45.97,,795.9,68.09
11/01/2017,126.09,45.95,,799.02,69.23
12/01/2017,126.62,45.92,,813.64,68.53
13/01/2017,128.34,47.55,,817.14,67.89
17/01/2017,127.87,47.12,,809.72,68.52
18/01/2017,127.92,47.67,,807.48,68.71
19/01/2017,127.55,48.75,,809.04,69.28
20/01/2017,127.04,48.95,,808.33,69.06
23/01/2017,128.93,49.78,,817.88,69.25
24/01/2017,129.37,50.92,,822.44,70.63
25/01/2017,131.48,50.89,,836.52,71.7
26/01/2017,132.78,50.5,,839.15,71.58
27/01/2017,132.18,50.59,,835.77,72.64
30/01/2017,130.98,50.13,,830.38,76.06
31/01/2017,130.32,50.39,,823.48,76.38
01/02/2017,133.23,49.85,,832.35,75.83
02/02/2017,130.84,50.31,,839.95,76.65
03/02/2017,130.98,50.27,,810.2,74.12
06/02/2017,132.06,51.55,,807.64,73.09
07/02/2017,131.84,51.5,,812.5,75.95
08/02/2017,134.2,52.42,,819.71,77.26
09/02/2017,134.14,53.84,,821.36,82.98
10/02/2017,134.19,53.85,,827.46,81.72
13/02/2017,134.05,56.12,,836.53,81.35
14/02/2017,133.85,56.2,,836.39,85.53
15/02/2017,133.44,55.95,,842.7,86.78
16/02/2017,133.84,53.79,,844.14,89.15
17/02/2017,133.53,54.45,,845.07,93.06
21/02/2017,133.72,55.48,,856.44,92.02
22/02/2017,136.12,54.7,,855.61,93.58
